id,docente,materia,semestre,dimension,calificacion_likert,comentario
1,Dr. García,Programación I,I/2026,Metodología,5,El docente explica los temas con mucha claridad y usa ejemplos prácticos que facilitan la comprensión
2,Lic. Mendoza,Cálculo,I/2026,Metodología,5,Sus clases son muy bien estructuradas y el ritmo de enseñanza es adecuado para todos
3,Ing. Flores,Física General,I/2026,Metodología,4,Explica de forma clara usando el pizarrón con ejemplos paso a paso muy útiles
4,Dra. Vargas,Estadística,I/2026,Metodología,4,La metodología de enseñanza es buena aunque a veces avanza demasiado rápido
5,Prof. Quispe,Algoritmos,I/2026,Metodología,5,Sus clases son dinámicas y participativas lo cual motiva mucho al estudiante
6,Dr. García,Algoritmos,I/2026,Metodología,2,No explica bien los temas y avanza muy rápido sin verificar que entendamos
7,Lic. Mendoza,Estadística,I/2026,Metodología,1,Las clases son monótonas y confusas no logro entender los temas explicados
8,Ing. Flores,Cálculo,I/2026,Metodología,2,Los ejemplos que usa no ayudan a comprender los conceptos difíciles
9,Dra. Vargas,Programación I,I/2026,Metodología,1,La manera de enseñar es muy desordenada y dificulta bastante el aprendizaje
10,Prof. Quispe,Física General,I/2026,Metodología,3,La enseñanza es regular a veces explica bien y otras veces no se entiende
11,Dr. García,Estadística,I/2026,Metodología,5,Tiene una metodología excelente explica con ejemplos del mundo real muy claros
12,Lic. Mendoza,Física General,I/2026,Metodología,4,Las explicaciones son claras y los ejercicios de práctica ayudan mucho
13,Ing. Flores,Algoritmos,I/2026,Metodología,3,La metodología es básica pero cumple con los objetivos del curso
14,Dra. Vargas,Cálculo,I/2026,Metodología,2,Necesita mejorar la forma de explicar los conceptos de la materia
15,Prof. Quispe,Programación I,I/2026,Metodología,5,Excelente docente que sabe cómo llegar a los estudiantes con sus explicaciones claras
16,Dr. García,Cálculo,I/2026,Metodología,4,Las clases están bien preparadas con buenas diapositivas y ejercicios prácticos
17,Dr. García,Programación I,I/2026,Evaluación,5,Los exámenes son justos y acordes al material enseñado durante todas las clases
18,Lic. Mendoza,Cálculo,I/2026,Evaluación,5,Los criterios de calificación son claros desde el inicio y los parciales bien diseñados
19,Ing. Flores,Física General,I/2026,Evaluación,4,Las notas reflejan el esfuerzo del estudiante y los exámenes son equilibrados
20,Dra. Vargas,Estadística,I/2026,Evaluación,4,El sistema de evaluación es transparente y bastante equitativo para todos
21,Prof. Quispe,Algoritmos,I/2026,Evaluación,5,Explica cómo se califica cada parte del examen y devuelve resultados muy rápido
22,Dr. García,Algoritmos,I/2026,Evaluación,1,Los parciales son muy difíciles comparado a lo que se enseña en clase
23,Lic. Mendoza,Estadística,I/2026,Evaluación,2,El examen incluye temas que nunca se explicaron y las notas son muy injustas
24,Ing. Flores,Cálculo,I/2026,Evaluación,2,No explica los criterios de calificación y las notas resultan muy bajas
25,Dra. Vargas,Programación I,I/2026,Evaluación,1,El sistema de evaluación es muy estricto y no reconoce el esfuerzo del alumno
26,Prof. Quispe,Física General,I/2026,Evaluación,3,Los exámenes son aceptables pero algunos temas no se vieron bien en clase
27,Dr. García,Estadística,I/2026,Evaluación,5,Los trabajos y exámenes están bien balanceados y evalúan lo más esencial
28,Lic. Mendoza,Física General,I/2026,Evaluación,4,Los parciales evalúan correctamente el conocimiento adquirido en clase
29,Ing. Flores,Algoritmos,I/2026,Evaluación,3,La calificación es justa aunque los criterios podrían explicarse con más detalle
30,Dra. Vargas,Cálculo,I/2026,Evaluación,2,Los exámenes son muy extensos para el tiempo dado y las notas reflejan eso
